Holes,Solidity,Eccentricity,Circularity,Extent,PerimAreaRatio,Label
0.000000,0.666667,0.967143,0.424407,0.354067,0.632554,1
0.000000,0.556420,0.815484,0.199394,0.425595,0.663867,5
0.000000,0.654167,0.798005,0.246525,0.413158,0.569803,5
0.000000,0.581028,0.796630,0.237320,0.407202,0.600177,3
0.000000,0.766990,0.968026,0.494829,0.398990,0.566975,1
0.000000,0.617647,0.801488,0.264292,0.525000,0.568728,3
1.000000,0.663415,0.730164,0.482937,0.453333,0.437412,4
1.000000,0.606061,0.709326,0.390407,0.500000,0.479493,6
0.000000,0.549763,0.848214,0.236150,0.483333,0.677302,3
0.000000,0.571429,0.826439,0.247700,0.373206,0.570269,2
1.000000,0.692641,0.655220,0.554046,0.444444,0.376506,4
0.000000,0.694444,0.757903,0.260185,0.595238,0.491415,5
1.000000,0.703008,0.719562,0.401550,0.556548,0.409086,6
0.000000,0.705357,0.964320,0.464002,0.359091,0.585506,1
0.000000,0.529183,0.722610,0.176865,0.340852,0.722794,5
0.000000,0.690000,0.972047,0.452322,0.308036,0.634536,1
0.000000,0.779528,0.962238,0.477181,0.400810,0.515758,1
1.000000,0.578947,0.719065,0.428094,0.392857,0.516582,4
0.000000,0.546218,0.802297,0.206416,0.406250,0.684323,5
0.000000,0.488789,0.808610,0.190613,0.302778,0.777706,5
0.000000,0.497561,0.831634,0.185140,0.392308,0.815745,5
0.000000,0.682353,0.971988,0.453217,0.302083,0.691414,1
1.000000,0.699029,0.686760,0.558937,0.445820,0.395132,4
1.000000,0.686364,0.595484,0.519598,0.467492,0.400205,4
0.000000,0.534799,0.851661,0.251334,0.390374,0.585199,2
1.000000,0.710280,0.715251,0.488639,0.475000,0.411329,4
1.000000,0.674510,0.724271,0.404940,0.477778,0.424762,6
0.000000,0.553191,0.554540,0.148839,0.433333,0.735673,5
0.000000,0.796748,0.953791,0.554376,0.388889,0.480939,1
0.000000,0.818182,0.965848,0.547822,0.337500,0.532160,1
1.000000,0.724806,0.717647,0.438273,0.584375,0.391572,6
0.000000,0.637097,0.820133,0.238134,0.442577,0.577918,5
0.000000,0.485577,0.817184,0.186309,0.312693,0.817198,5
0.000000,0.595238,0.888849,0.312554,0.425170,0.567136,3
1.000000,0.728395,0.747802,0.539483,0.465789,0.362768,4
1.000000,0.691700,0.717217,0.418035,0.460526,0.414457,6
0.000000,0.715686,0.965830,0.481266,0.350962,0.598068,1
0.000000,0.478469,0.829042,0.183325,0.350877,0.827930,5
0.000000,0.584475,0.774896,0.226880,0.374269,0.657812,5
1.000000,0.609137,0.693598,0.487361,0.421053,0.463542,4
0.000000,0.505792,0.833361,0.220487,0.311905,0.659595,2
0.000000,0.466667,0.835713,0.208710,0.396667,0.711311,2
0.000000,0.600000,0.771964,0.233134,0.520000,0.587814,5
1.000000,0.692308,0.755233,0.552545,0.459184,0.410444,4
1.000000,0.593074,0.698432,0.399363,0.428125,0.479248,4
0.000000,0.614035,0.834876,0.274848,0.538462,0.571471,3
1.000000,0.516588,0.710133,0.318061,0.403704,0.602055,6
0.000000,0.569620,0.799468,0.223060,0.397059,0.645993,5
1.000000,0.727700,0.698040,0.563342,0.543860,0.379361,4
1.000000,0.605505,0.741451,0.326694,0.496241,0.539818,6
1.000000,0.691542,0.696479,0.546345,0.463333,0.406784,4
1.000000,0.646865,0.827839,0.310514,0.405797,0.454398,6
0.000000,0.740000,0.961546,0.463490,0.330357,0.605297,1
0.000000,0.586667,0.844239,0.260489,0.471429,0.604538,3
0.000000,0.574468,0.812569,0.268434,0.368182,0.537562,2
0.000000,0.545802,0.764085,0.206891,0.378307,0.651727,5
1.000000,0.671296,0.693325,0.541822,0.423977,0.399938,4
0.000000,0.511450,0.832814,0.244285,0.319048,0.619590,2
0.000000,0.788360,0.885828,0.579179,0.573077,0.381597,1
1.000000,0.600897,0.741235,0.346517,0.413580,0.520224,6
1.000000,0.627306,0.660947,0.376673,0.461957,0.442994,4
1.000000,0.685484,0.726565,0.375934,0.497076,0.443429,6
1.000000,0.721408,0.818980,0.333926,0.447273,0.391122,6
0.000000,0.434043,0.846229,0.176576,0.383459,0.835294,2
0.000000,0.524000,0.787047,0.189530,0.346561,0.711427,5
1.000000,0.694064,0.676879,0.551650,0.444444,0.387125,4
0.000000,0.807487,0.871863,0.672694,0.559259,0.351728,1
0.000000,0.519685,0.843414,0.258554,0.330827,0.606795,2
1.000000,0.611354,0.737523,0.360325,0.433437,0.499107,6
0.000000,0.625000,0.861424,0.272035,0.493197,0.564428,3
0.000000,0.539749,0.834500,0.242753,0.484962,0.633473,2
1.000000,0.619247,0.710969,0.389541,0.493333,0.466872,6
0.000000,0.485981,0.811056,0.187574,0.325000,0.802606,5
1.000000,0.749263,0.821742,0.398027,0.481061,0.352559,6
0.000000,0.418502,0.836125,0.169388,0.376984,0.883695,2
0.000000,0.673307,0.820963,0.254345,0.565217,0.540692,5
0.000000,0.504587,0.814346,0.191057,0.343750,0.773264,5
0.000000,0.561151,0.760591,0.202228,0.390977,0.631135,5
1.000000,0.689189,0.683865,0.565885,0.447368,0.380974,4
0.000000,0.806452,0.902966,0.669938,0.534188,0.387376,1
0.000000,0.496000,0.839936,0.241983,0.295238,0.647145,2
1.000000,0.702811,0.768407,0.393089,0.511696,0.427406,6
1.000000,0.581498,0.746482,0.336539,0.385965,0.531864,6
0.000000,0.618644,0.857582,0.275080,0.496599,0.559370,3
0.000000,0.546559,0.829984,0.244404,0.507519,0.617141,2
1.000000,0.566964,0.718874,0.341915,0.477444,0.537953,6
0.000000,0.502347,0.821364,0.191655,0.445833,0.782804,5
0.000000,0.739130,0.957496,0.469414,0.497076,0.561200,1
0.000000,0.690476,0.948447,0.435844,0.457895,0.575678,1
1.000000,0.721739,0.650844,0.543510,0.518750,0.373205,4
1.000000,0.724036,0.814450,0.345496,0.484127,0.386090,6
1.000000,0.426036,0.744315,0.289827,0.333333,0.776014,6
0.000000,0.594142,0.823241,0.231541,0.520147,0.618225,5
1.000000,0.620690,0.696586,0.474615,0.393750,0.458405,4
0.000000,0.520913,0.835105,0.242602,0.343358,0.614891,2
1.000000,0.512077,0.699359,0.285930,0.368056,0.643906,6
0.000000,0.506849,0.816594,0.192793,0.343653,0.766297,5
1.000000,0.663366,0.703579,0.517264,0.437908,0.425791,4
0.000000,0.619926,0.796446,0.214958,0.470588,0.589893,2
0.000000,0.533981,0.861990,0.235848,0.381944,0.695973,3
0.000000,0.304813,0.854483,0.130797,0.176471,1.298281,2
0.000000,0.472222,0.840150,0.205845,0.269841,0.716244,2
0.000000,0.553648,0.810565,0.209398,0.460714,0.682062,5
1.000000,0.689796,0.668264,0.418561,0.555921,0.421485,6
0.000000,0.717949,0.967641,0.456569,0.311111,0.572417,1
0.000000,0.431373,0.809580,0.159284,0.338462,0.946841,5
1.000000,0.670940,0.721168,0.401512,0.550877,0.446484,6
0.000000,0.591489,0.783811,0.224399,0.386111,0.634727,5
0.000000,0.529148,0.861939,0.250612,0.345029,0.651873,3
0.000000,0.684685,0.963150,0.467194,0.422222,0.594908,1
0.000000,0.730375,0.750518,0.292956,0.516908,0.447710,5
1.000000,0.595628,0.730042,0.418570,0.409774,0.524817,4
1.000000,0.711382,0.692633,0.422368,0.625000,0.412326,6
1.000000,0.684466,0.701771,0.544590,0.463816,0.404539,4
1.000000,0.562500,0.663421,0.339630,0.411765,0.541897,6
1.000000,0.736842,0.693718,0.655691,0.476780,0.352773,4
1.000000,0.642857,0.654594,0.487562,0.406250,0.469350,4
1.000000,0.673077,0.700021,0.515166,0.460526,0.417414,4
1.000000,0.767442,0.681306,0.626891,0.510836,0.348552,4
1.000000,0.617021,0.659396,0.461049,0.379085,0.484733,4
0.000000,0.750000,0.949887,0.526505,0.406015,0.470102,1
1.000000,0.651452,0.676722,0.397555,0.486068,0.448701,6
1.000000,0.769874,0.571012,0.705147,0.541176,0.311212,4
0.000000,0.679537,0.769389,0.237197,0.598639,0.548648,5
0.000000,0.687500,0.962756,0.449510,0.305556,0.602545,1
1.000000,0.556150,0.680762,0.408660,0.364912,0.543760,4
0.000000,0.547101,0.823287,0.243364,0.444118,0.584775,2
0.000000,0.583691,0.816243,0.225866,0.462585,0.639603,5
0.000000,0.511450,0.821277,0.221489,0.398810,0.650694,2
0.000000,0.459184,0.859646,0.197116,0.315789,0.841633,3
