id,Holes,Solidity,Eccentricity,Circularity,InvExtent,RadialVariance,Hu1,Hu2,Hu3,Label
1,0.000000,0.726496,0.965107,0.476157,0.589119,0.490832,0.430971,0.142409,0.011765,1
2,0.000000,0.574219,0.811441,0.211927,0.405109,0.363845,0.353014,0.030212,0.000331,5
3,0.000000,0.658333,0.798314,0.250172,0.452053,0.369126,0.311783,0.021406,0.000011,5
4,1.000000,0.604348,0.720061,0.341952,0.388592,0.339695,0.342191,0.014443,0.000968,6
5,0.000000,0.765766,0.958977,0.514590,0.611818,0.491566,0.387351,0.109822,0.007885,1
6,0.000000,0.582609,0.844637,0.256665,0.406511,0.385725,0.368259,0.041980,0.002657,3
7,0.000000,0.766990,0.968026,0.494829,0.615247,0.501424,0.428335,0.144005,0.005478,1
8,0.000000,0.605042,0.806216,0.269671,0.418468,0.377871,0.339653,0.026925,0.002873,3
9,1.000000,0.620690,0.698912,0.385254,0.404751,0.335748,0.325186,0.011123,0.001576,6
10,1.000000,0.707763,0.707200,0.579689,0.519825,0.363739,0.253988,0.007234,0.006650,4
11,0.000000,0.573460,0.852433,0.247474,0.377584,0.395350,0.401759,0.052923,0.003312,3
12,0.000000,0.560440,0.822169,0.241945,0.398945,0.382099,0.363303,0.034608,0.001077,2
13,1.000000,0.602804,0.724245,0.357789,0.385937,0.346032,0.345231,0.015176,0.001411,6
14,1.000000,0.741379,0.663805,0.595599,0.546233,0.360176,0.237594,0.004544,0.004762,4
15,0.000000,0.738411,0.749211,0.285862,0.526197,0.367069,0.257254,0.010133,0.000130,5
16,0.000000,0.753968,0.955021,0.489549,0.619404,0.494961,0.368439,0.096317,0.004373,1
17,0.000000,0.692982,0.968575,0.467675,0.611876,0.499864,0.433978,0.148438,0.005168,1
18,0.000000,0.620253,0.814287,0.248318,0.438330,0.369765,0.327276,0.026529,0.000274,5
19,0.000000,0.646465,0.972225,0.405788,0.529667,0.478098,0.529175,0.227094,0.012345,1
20,0.000000,0.768000,0.964152,0.487509,0.616957,0.498581,0.406917,0.125948,0.004119,1
21,1.000000,0.580311,0.708806,0.446341,0.389352,0.340526,0.339308,0.013071,0.014940,4
22,0.000000,0.594262,0.807441,0.233302,0.403897,0.361552,0.352439,0.029244,0.000039,5
23,0.000000,0.441315,0.798604,0.153298,0.273235,0.334910,0.515955,0.058752,0.001863,5
24,0.000000,0.502439,0.831799,0.187365,0.318032,0.366826,0.461510,0.060005,0.000054,5
25,0.000000,0.650602,0.971229,0.395591,0.560148,0.494662,0.492011,0.195323,0.002824,1
26,1.000000,0.746479,0.665210,0.619313,0.538670,0.346516,0.240978,0.004728,0.004732,4
27,1.000000,0.699187,0.615058,0.545093,0.527746,0.380171,0.242607,0.003228,0.006849,4
28,0.000000,0.584838,0.861362,0.291030,0.420149,0.385609,0.367371,0.047204,0.001753,2
29,1.000000,0.714953,0.712607,0.502161,0.501284,0.347933,0.264099,0.008144,0.006996,4
30,1.000000,0.710037,0.675569,0.421076,0.499907,0.346455,0.260876,0.005989,0.000304,6
31,0.000000,0.495868,0.752481,0.168024,0.323595,0.326356,0.419073,0.027573,0.002391,5
32,0.000000,0.610922,0.809005,0.291653,0.436207,0.372536,0.327046,0.025452,0.001301,2
33,0.000000,0.554745,0.831757,0.264366,0.391874,0.371008,0.374740,0.039505,0.001319,2
